share_code,name,fund_type,status,inception_date,end_date,known_at,source,family_id,end_known_at,source_ts_code,canonical_fund_id,is_representative
000049,中银标普全球精选自然资源等权重指数(QDII)-A,指数型-海外股票,清盘,2013-03-19,2023-01-17,2013-03-19,tushare_fund_basic,中银基金管理有限公司,2023-01-17,000049.OF,000049,True
000060,国联安中证股债动态策略指数,股票型,清盘,2013-06-26,2017-03-28,2013-06-26,tushare_fund_basic,国联安基金管理有限公司,2017-03-28,000060.OF,000060,True
000062,银华量化智慧动力灵活配置混合,混合型-灵活,清盘,2016-04-25,2018-09-27,2016-04-25,tushare_fund_basic,银华基金管理股份有限公司,2018-09-27,000062.OF,000062,True
000178,博时灵活配置混合-A,混合型-灵活,清盘,2013-11-08,2018-01-22,2013-11-08,tushare_fund_basic,博时基金管理有限公司,2018-01-22,000178.OF,000178,True
000193,国泰美国房地产开发股票(QDII),股票型,清盘,2013-08-07,2017-12-19,2013-08-07,tushare_fund_basic,国泰基金管理有限公司,2017-12-19,000193.OF,000193,True
000278,融通通泽灵活配置混合,混合型-灵活,清盘,2013-08-30,2017-11-17,2013-08-30,tushare_fund_basic,融通基金管理有限公司,2017-11-17,000278.OF,000278,True
000315,融通通祥一年目标触发式灵活配置混合,混合型-灵活,清盘,2013-10-22,2014-10-22,2013-10-22,tushare_fund_basic,融通基金管理有限公司,2014-10-22,000315.OF,000315,True
000391,招商标普高收益红利贵族指数增强(QDII)-CNY,指数型-海外股票,清盘,2013-12-11,2016-08-01,2013-12-11,tushare_fund_basic,招商基金管理有限公司,2016-08-01,000391.OF,000391,True
000392,招商标普高收益红利贵族指数增强(QDII)-USD,指数型-海外股票,清盘,2013-12-11,2016-08-01,2013-12-11,tushare_fund_basic,招商基金管理有限公司,2016-08-01,000392.OF,000392,True
000393,招商标普高收益红利贵族指数增强(QDII)-HKD,指数型-海外股票,清盘,2013-12-11,2016-08-01,2013-12-11,tushare_fund_basic,招商基金管理有限公司,2016-08-01,000393.OF,000393,True
000417,国联安新精选灵活配置混合-A,混合型-灵活,清盘,2014-03-04,2026-08-10,2014-03-04,tushare_fund_basic,国联安基金管理有限公司,2026-08-10,000417.OF,000417,True
000459,英大领先回报混合-B,混合型-灵活,存续,2025-01-03,,2025-01-03,tushare_fund_basic,英大基金管理有限公司,,000459.OF,000459,True
000664,国联安通盈灵活配置混合-A,混合型-灵活,清盘,2014-06-13,2026-04-13,2014-06-13,tushare_fund_basic,国联安基金管理有限公司,2026-04-13,000664.OF,000664,True
000708,华安安享灵活配置混合-A,混合型-灵活,清盘,2015-01-23,2022-09-01,2015-01-23,tushare_fund_basic,华安基金管理有限公司,2022-09-01,000708.OF,000708,True
000820,华安中证高分红指数增强-A,指数型-股票,清盘,2014-11-14,2015-12-07,2014-11-14,tushare_fund_basic,华安基金管理有限公司,2015-12-07,000820.OF,000820,True
000821,华安中证高分红指数增强-C,指数型-股票,清盘,2014-11-14,2015-12-07,2014-11-14,tushare_fund_basic,华安基金管理有限公司,2015-12-07,000821.OF,000820,False
000885,广发标普全球农业指数(QDII)-USD-现汇,指数型-海外股票,清盘,2015-01-16,2019-11-08,2015-01-16,tushare_fund_basic,广发基金管理有限公司,2019-11-08,000885.OF,000885,True
000886,北信瑞丰无限互联主题灵活配置混合,混合型-灵活,清盘,2014-12-24,2017-12-25,2014-12-24,tushare_fund_basic,华银基金管理有限公司,2017-12-25,000886.OF,000886,True
000953,国泰睿吉灵活配置混合-A,混合型-灵活,清盘,2015-04-22,2023-11-29,2015-04-22,tushare_fund_basic,国泰基金管理有限公司,2023-11-29,000953.OF,000953,True
000954,国泰睿吉灵活配置混合-C,混合型-灵活,清盘,2015-04-22,2023-11-29,2015-04-22,tushare_fund_basic,国泰基金管理有限公司,2023-11-29,000954.OF,000953,False
000972,新华万银多元策略灵活配置混合,混合型-灵活,清盘,2015-04-10,2023-07-18,2015-04-10,tushare_fund_basic,新华基金管理股份有限公司,2023-07-18,000972.OF,000972,True
001005,中海合鑫灵活配置混合,混合型-灵活,清盘,2015-02-11,2018-06-04,2015-02-11,tushare_fund_basic,中海基金管理有限公司,2018-06-04,001005.OF,001005,True
001014,中融融安灵活配置混合,混合型-灵活,清盘,2017-02-17,2021-08-17,2017-02-17,tushare_fund_basic,国联基金管理有限公司,2021-08-17,001014.OF,001014,True
001119,国投瑞银新回报灵活配置混合,混合型-灵活,清盘,2015-03-20,2019-09-19,2015-03-20,tushare_fund_basic,国投瑞银基金管理有限公司,2019-09-19,001119.OF,001119,True
001141,泰达宏利创盈灵活配置混合-A,混合型-灵活,清盘,2015-03-30,2022-12-08,2015-03-30,tushare_fund_basic,宏利基金管理有限公司,2022-12-08,001141.OF,001141,True
001142,泰达宏利创盈灵活配置混合-B,混合型-灵活,清盘,2015-03-30,2022-12-08,2015-03-30,tushare_fund_basic,宏利基金管理有限公司,2022-12-08,001142.OF,001142,True
001159,大成景秀灵活配置混合-A,混合型-灵活,清盘,2015-03-27,2019-04-17,2015-03-27,tushare_fund_basic,大成基金管理有限公司,2019-04-17,001159.OF,001159,True
001169,国投瑞银新价值灵活配置混合,混合型-灵活,清盘,2015-04-22,2018-03-15,2015-04-22,tushare_fund_basic,国投瑞银基金管理有限公司,2018-03-15,001169.OF,001169,True
001185,安信动态策略灵活配置混合-A,混合型-灵活,清盘,2015-04-15,2023-04-12,2015-04-15,tushare_fund_basic,安信基金管理有限责任公司,2023-04-12,001185.OF,001185,True
001196,东方鼎新灵活配置混合-A,混合型-灵活,清盘,2015-04-21,2024-12-19,2015-04-21,tushare_fund_basic,东方基金管理股份有限公司,2024-12-19,001196.OF,001196,True
001201,申万菱信安鑫回报灵活配置混合-A,混合型-灵活,清盘,2015-04-28,2023-07-26,2015-04-28,tushare_fund_basic,申万菱信基金管理有限公司,2023-07-26,001201.OF,001201,True
001205,建信稳健回报灵活配置混合,混合型-灵活,清盘,2015-04-17,2020-08-06,2015-04-17,tushare_fund_basic,建信基金管理有限责任公司,2020-08-06,001205.OF,001205,True
001206,广发聚惠灵活配置混合-A,混合型-灵活,清盘,2015-04-15,2019-01-25,2015-04-15,tushare_fund_basic,广发基金管理有限公司,2019-01-25,001206.OF,001206,True
001207,广发聚惠灵活配置混合-C,混合型-灵活,清盘,2015-04-15,2019-01-25,2015-04-15,tushare_fund_basic,广发基金管理有限公司,2019-01-25,001207.OF,001206,False
001228,国联安鑫享灵活配置混合-A,混合型-灵活,清盘,2015-04-28,2026-08-03,2015-04-28,tushare_fund_basic,国联安基金管理有限公司,2026-08-03,001228.OF,001228,True
001253,建信回报灵活配置混合,混合型-灵活,清盘,2015-05-13,2019-01-21,2015-05-13,tushare_fund_basic,建信基金管理有限责任公司,2019-01-21,001253.OF,001253,True
001259,德邦鑫星稳健灵活配置混合,混合型-灵活,清盘,2015-05-21,2018-09-27,2015-05-21,tushare_fund_basic,德邦基金管理有限公司,2018-09-27,001259.OF,001259,True
001262,大成景明灵活配置混合-A,混合型-灵活,清盘,2015-04-29,2019-01-07,2015-04-29,tushare_fund_basic,大成基金管理有限公司,2019-01-07,001262.OF,001262,True
001263,大成景穗灵活配置混合-A,混合型-灵活,清盘,2015-05-04,2018-08-22,2015-05-04,tushare_fund_basic,大成基金管理有限公司,2018-08-22,001263.OF,001263,True
001264,银华恒利灵活配置混合-A,混合型-灵活,清盘,2015-05-06,2021-11-15,2015-05-06,tushare_fund_basic,银华基金管理股份有限公司,2021-11-15,001264.OF,001264,True
001273,民生加银新动力灵活配置混合-A,混合型-灵活,清盘,2016-06-23,2022-07-20,2016-06-23,tushare_fund_basic,民生加银基金管理有限公司,2022-07-20,001273.OF,001273,True
001274,民生加银新动力灵活配置混合-D,混合型-灵活,清盘,2016-06-23,2022-07-20,2016-06-23,tushare_fund_basic,民生加银基金管理有限公司,2022-07-20,001274.OF,001274,True
001283,红塔红土盛金新动力灵活配置混合-A,混合型-灵活,清盘,2015-06-19,2024-02-05,2015-06-19,tushare_fund_basic,红塔红土基金管理有限公司,2024-02-05,001283.OF,001283,True
001284,红塔红土盛金新动力灵活配置混合-C,混合型-灵活,清盘,2015-06-19,2024-02-05,2015-06-19,tushare_fund_basic,红塔红土基金管理有限公司,2024-02-05,001284.OF,001283,False
001295,大成景源灵活配置混合-A,混合型-灵活,清盘,2015-05-15,2018-11-07,2015-05-15,tushare_fund_basic,大成基金管理有限公司,2018-11-07,001295.OF,001295,True
001310,华泰柏瑞行业竞争优势灵活配置混合,混合型-灵活,清盘,2016-12-27,2018-10-31,2016-12-27,tushare_fund_basic,华泰柏瑞基金管理有限公司,2018-10-31,001310.OF,001310,True
001311,华安新回报灵活配置混合-A,混合型-灵活,清盘,2015-05-19,2026-04-28,2015-05-19,tushare_fund_basic,华安基金管理有限公司,2026-04-28,001311.OF,001311,True
001321,兴业聚优灵活配置混合,混合型-灵活,清盘,2015-05-21,2018-05-28,2015-05-21,tushare_fund_basic,兴业基金管理有限公司,2018-05-28,001321.OF,001321,True
001333,大成景鹏灵活配置混合-A,混合型-灵活,清盘,2015-05-22,2018-09-06,2015-05-22,tushare_fund_basic,大成基金管理有限公司,2018-09-06,001333.OF,001333,True
001340,华泰柏瑞惠利灵活配置混合-A,混合型-灵活,清盘,2015-05-25,2018-11-06,2015-05-25,tushare_fund_basic,华泰柏瑞基金管理有限公司,2018-11-06,001340.OF,001340,True
001341,华泰柏瑞惠利灵活配置混合-C,混合型-灵活,清盘,2015-05-25,2018-11-06,2015-05-25,tushare_fund_basic,华泰柏瑞基金管理有限公司,2018-11-06,001341.OF,001340,False
001348,大摩新机遇灵活配置混合,混合型-灵活,清盘,2015-06-24,2021-01-12,2015-06-24,tushare_fund_basic,摩根士丹利基金管理(中国)有限公司,2021-01-12,001348.OF,001348,True
001359,国联安添鑫灵活配置混合-A,混合型-灵活,清盘,2015-06-02,2026-06-02,2015-06-02,tushare_fund_basic,国联安基金管理有限公司,2026-06-02,001359.OF,001359,True
001377,中融新产业灵活配置混合-A,混合型-灵活,清盘,2017-07-12,2018-11-26,2017-07-12,tushare_fund_basic,国联基金管理有限公司,2018-11-26,001377.OF,001377,True
001378,中融新产业灵活配置混合-C,混合型-灵活,清盘,2017-07-12,2018-11-26,2017-07-12,tushare_fund_basic,国联基金管理有限公司,2018-11-26,001378.OF,001377,False
001389,中融鑫视野灵活配置混合-A,混合型-灵活,清盘,2015-10-20,2019-02-22,2015-10-20,tushare_fund_basic,国联基金管理有限公司,2019-02-22,001389.OF,001389,True
001390,中融鑫视野灵活配置混合-C,混合型-灵活,清盘,2015-10-20,2019-02-22,2015-10-20,tushare_fund_basic,国联基金管理有限公司,2019-02-22,001390.OF,001389,False
001394,博时新趋势灵活配置混合-A,混合型-灵活,清盘,2015-05-29,2017-11-28,2015-05-29,tushare_fund_basic,博时基金管理有限公司,2017-11-28,001394.OF,001394,True
001395,博时新趋势灵活配置混合-C,混合型-灵活,清盘,2015-05-29,2017-11-28,2015-05-29,tushare_fund_basic,博时基金管理有限公司,2017-11-28,001395.OF,001394,False
001408,建信鑫丰回报灵活配置混合-A,混合型-灵活,清盘,2015-06-16,2021-04-21,2015-06-16,tushare_fund_basic,建信基金管理有限责任公司,2021-04-21,001408.OF,001408,True
001419,泰达宏利新思路灵活配置混合-A,混合型-灵活,清盘,2015-06-16,2023-03-15,2015-06-16,tushare_fund_basic,宏利基金管理有限公司,2023-03-15,001419.OF,001419,True
001424,博时新起点灵活配置混合-A,混合型-灵活,清盘,2015-06-24,2024-08-25,2015-06-24,tushare_fund_basic,博时基金管理有限公司,2024-08-25,001424.OF,001424,True
001425,博时新起点灵活配置混合-C,混合型-灵活,清盘,2015-06-24,2024-08-25,2015-06-24,tushare_fund_basic,博时基金管理有限公司,2024-08-25,001425.OF,001424,False
001431,方正富邦优选灵活配置混合-A,混合型-灵活,清盘,2015-06-25,2018-09-07,2015-06-25,tushare_fund_basic,方正富邦基金管理有限公司,2018-09-07,001431.OF,001431,True
001456,华泰柏瑞中国制造2025灵活配置混合-A,混合型-灵活,清盘,2015-08-04,2019-01-02,2015-08-04,tushare_fund_basic,华泰柏瑞基金管理有限公司,2019-01-02,001456.OF,001456,True
001458,广发中证全指主要消费ETF联接-A,指数型-股票,清盘,2015-08-18,2018-08-20,2015-08-18,tushare_fund_basic,广发基金管理有限公司,2018-08-20,001458.OF,001458,True
001459,广发中证全指原材料ETF联接-A,指数型-股票,清盘,2015-08-18,2018-08-20,2015-08-18,tushare_fund_basic,广发基金管理有限公司,2018-08-20,001459.OF,001459,True
001460,广发中证全指能源ETF联接-A,指数型-股票,清盘,2015-07-09,2018-07-09,2015-07-09,tushare_fund_basic,广发基金管理有限公司,2018-07-09,001460.OF,001460,True
001464,光大保德信鼎鑫灵活配置混合-A,混合型-灵活,清盘,2015-06-11,2024-06-26,2015-06-11,tushare_fund_basic,光大保德信基金管理有限公司,2024-06-26,001464.OF,001464,True
001465,国金鑫运灵活配置混合,混合型-灵活,清盘,2015-06-24,2015-12-14,2015-06-24,tushare_fund_basic,国金基金管理有限公司,2015-12-14,001465.OF,001465,True
001483,天弘喜利灵活配置混合,混合型-灵活,清盘,2016-11-18,2018-05-17,2016-11-18,tushare_fund_basic,天弘基金管理有限公司,2018-05-17,001483.OF,001483,True
001491,国泰生益灵活配置混合-A,混合型-灵活,清盘,2015-06-19,2018-02-12,2015-06-19,tushare_fund_basic,国泰基金管理有限公司,2018-02-12,001491.OF,001491,True
001492,鹏华弘锐灵活配置混合-A,混合型-灵活,清盘,2015-06-24,2018-05-16,2015-06-24,tushare_fund_basic,鹏华基金管理有限公司,2018-05-16,001492.OF,001492,True
001493,鹏华弘锐灵活配置混合-C,混合型-灵活,清盘,2015-06-24,2018-05-16,2015-06-24,tushare_fund_basic,鹏华基金管理有限公司,2018-05-16,001493.OF,001492,False
001494,信诚新鑫回报灵活配置混合-A,混合型-灵活,清盘,2015-06-29,2018-07-30,2015-06-29,tushare_fund_basic,中信保诚基金管理有限公司,2018-07-30,001494.OF,001494,True
001498,建信鑫荣回报灵活配置混合-A,混合型-灵活,清盘,2016-12-23,2024-02-05,2016-12-23,tushare_fund_basic,建信基金管理有限责任公司,2024-02-05,001498.OF,001498,True
001499,国投瑞银新增长灵活配置混合-A,混合型-灵活,清盘,2015-06-19,2026-01-19,2015-06-19,tushare_fund_basic,国投瑞银基金管理有限公司,2026-01-19,001499.OF,001499,True
001501,招商丰裕灵活配置混合-A,混合型-灵活,清盘,2015-11-17,2018-03-14,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-03-14,001501.OF,001501,True
001502,招商丰裕灵活配置混合-C,混合型-灵活,清盘,2015-11-17,2018-03-14,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-03-14,001502.OF,001501,False
001517,大成景裕灵活配置混合-A,混合型-灵活,清盘,2015-06-23,2018-05-29,2015-06-23,tushare_fund_basic,大成基金管理有限公司,2018-05-29,001517.OF,001517,True
001519,建信鑫裕回报灵活配置混合,混合型-灵活,清盘,2015-07-02,2015-11-09,2015-07-02,tushare_fund_basic,建信基金管理有限责任公司,2015-11-09,001519.OF,001519,True
001520,国投瑞银研究精选股票,股票型,清盘,2017-12-01,2024-06-21,2017-12-01,tushare_fund_basic,国投瑞银基金管理有限公司,2024-06-21,001520.OF,001520,True
001524,华泰柏瑞精选回报灵活配置混合,混合型-灵活,清盘,2016-09-02,2023-11-30,2016-09-02,tushare_fund_basic,华泰柏瑞基金管理有限公司,2023-11-30,001524.OF,001524,True
001533,华泰柏瑞爱利灵活配置混合,混合型-灵活,清盘,2016-09-20,2018-11-01,2016-09-20,tushare_fund_basic,华泰柏瑞基金管理有限公司,2018-11-01,001533.OF,001533,True
001554,天弘中证全指运输指数-A,指数型-股票,清盘,2015-06-30,2018-07-02,2015-06-30,tushare_fund_basic,天弘基金管理有限公司,2018-07-02,001554.OF,001554,True
001555,天弘中证全指运输指数-C,指数型-股票,清盘,2015-06-30,2018-07-02,2015-06-30,tushare_fund_basic,天弘基金管理有限公司,2018-07-02,001555.OF,001554,False
001560,天弘中证移动互联网指数-A,指数型-股票,清盘,2015-06-30,2018-07-02,2015-06-30,tushare_fund_basic,天弘基金管理有限公司,2018-07-02,001560.OF,001560,True
001561,天弘中证移动互联网指数-C,指数型-股票,清盘,2015-06-30,2018-07-02,2015-06-30,tushare_fund_basic,天弘基金管理有限公司,2018-07-02,001561.OF,001560,False
001568,泰达宏利增利灵活配置定开混合,混合型-灵活,清盘,2016-06-30,2017-12-29,2016-06-30,tushare_fund_basic,宏利基金管理有限公司,2017-12-29,001568.OF,001568,True
001573,南方互联网+灵活配置混合,混合型-灵活,清盘,2017-11-27,2021-08-03,2017-11-27,tushare_fund_basic,南方基金管理股份有限公司,2021-08-03,001573.OF,001573,True
001582,大成景辉灵活配置混合-A,混合型-灵活,清盘,2015-11-30,2018-10-30,2015-11-30,tushare_fund_basic,大成基金管理有限公司,2018-10-30,001582.OF,001582,True
001586,天弘中证100指数-A,指数型-股票,清盘,2015-07-16,2018-07-16,2015-07-16,tushare_fund_basic,天弘基金管理有限公司,2018-07-16,001586.OF,001586,True
001587,天弘中证100指数-C,指数型-股票,清盘,2015-07-16,2018-07-16,2015-07-16,tushare_fund_basic,天弘基金管理有限公司,2018-07-16,001587.OF,001586,False
001590,天弘中证环保产业指数-A,指数型-股票,清盘,2015-07-16,2018-07-16,2015-07-16,tushare_fund_basic,天弘基金管理有限公司,2018-07-16,001590.OF,001590,True
001591,天弘中证环保产业指数-C,指数型-股票,清盘,2015-07-16,2018-07-16,2015-07-16,tushare_fund_basic,天弘基金管理有限公司,2018-07-16,001591.OF,001590,False
001597,招商丰融灵活配置混合-A,混合型-灵活,清盘,2015-11-17,2018-08-08,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-08-08,001597.OF,001597,True
001598,招商丰融灵活配置混合-C,混合型-灵活,清盘,2015-11-17,2018-08-08,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-08-08,001598.OF,001597,False
001599,天弘中证高端装备制造指数-A,指数型-股票,清盘,2015-07-08,2018-07-09,2015-07-08,tushare_fund_basic,天弘基金管理有限公司,2018-07-09,001599.OF,001599,True
001600,天弘中证高端装备制造指数-C,指数型-股票,清盘,2015-07-08,2018-07-09,2015-07-08,tushare_fund_basic,天弘基金管理有限公司,2018-07-09,001600.OF,001599,False
001611,天弘中证休闲娱乐指数-A,指数型-股票,清盘,2015-07-29,2018-07-30,2015-07-29,tushare_fund_basic,天弘基金管理有限公司,2018-07-30,001611.OF,001611,True
001612,天弘中证休闲娱乐指数-C,指数型-股票,清盘,2015-07-29,2018-07-30,2015-07-29,tushare_fund_basic,天弘基金管理有限公司,2018-07-30,001612.OF,001611,False
001620,嘉实新机遇灵活配置混合,混合型-灵活,清盘,2015-07-13,2018-11-28,2015-07-13,tushare_fund_basic,嘉实基金管理有限公司,2018-11-28,001620.OF,001620,True
001626,国泰央企改革股票-A,股票型,清盘,2015-09-01,2026-06-17,2015-09-01,tushare_fund_basic,国泰基金管理有限公司,2026-06-17,001626.OF,001626,True
001627,融通新优选灵活配置混合,混合型-灵活,清盘,2016-11-02,2017-08-18,2016-11-02,tushare_fund_basic,融通基金管理有限公司,2017-08-18,001627.OF,001627,True
001639,嘉实新常态灵活配置混合-A,混合型-灵活,清盘,2016-03-30,2018-09-03,2016-03-30,tushare_fund_basic,嘉实基金管理有限公司,2018-09-03,001639.OF,001639,True
001640,嘉实新常态灵活配置混合-C,混合型-灵活,清盘,2016-03-30,2018-09-03,2016-03-30,tushare_fund_basic,嘉实基金管理有限公司,2018-09-03,001640.OF,001639,False
001647,天弘聚利灵活配置混合,混合型-灵活,清盘,2016-12-16,2018-01-12,2016-12-16,tushare_fund_basic,天弘基金管理有限公司,2018-01-12,001647.OF,001647,True
001649,工银瑞信工业4.0股票,股票型,清盘,2017-06-16,2018-12-17,2017-06-16,tushare_fund_basic,工银瑞信基金管理有限公司,2018-12-17,001649.OF,001649,True
001654,国联安添鑫灵活配置混合-C,混合型-灵活,清盘,2015-07-07,2026-06-02,2015-07-07,tushare_fund_basic,国联安基金管理有限公司,2026-06-02,001654.OF,001359,False
001659,富安达新动力灵活配置混合,混合型-灵活,清盘,2016-12-07,2025-12-10,2016-12-07,tushare_fund_basic,富安达基金管理有限公司,2025-12-10,001659.OF,001659,True
001663,中银互联网+股票,股票型,清盘,2015-08-06,2021-04-23,2015-08-06,tushare_fund_basic,中银基金管理有限公司,2021-04-23,001663.OF,001663,True
001670,长城新策略灵活配置混合-A,混合型-灵活,清盘,2015-11-27,2018-12-13,2015-11-27,tushare_fund_basic,长城基金管理有限公司,2018-12-13,001670.OF,001670,True
001671,长城新策略灵活配置混合-C,混合型-灵活,清盘,2015-11-27,2018-12-13,2015-11-27,tushare_fund_basic,长城基金管理有限公司,2018-12-13,001671.OF,001670,False
001673,红塔红土优质成长灵活配置混合-A,混合型-灵活,清盘,2015-08-06,2018-09-10,2015-08-06,tushare_fund_basic,红塔红土基金管理有限公司,2018-09-10,001673.OF,001673,True
001674,红塔红土优质成长灵活配置混合-C,混合型-灵活,清盘,2015-08-06,2018-09-10,2015-08-06,tushare_fund_basic,红塔红土基金管理有限公司,2018-09-10,001674.OF,001673,False
001680,九泰久利灵活配置混合,混合型-灵活,清盘,2016-11-07,2018-12-04,2016-11-07,tushare_fund_basic,九泰基金管理有限公司,2018-12-04,001680.OF,001680,True
001683,华夏新经济灵活配置混合,混合型-灵活,清盘,2015-07-13,2018-11-28,2015-07-13,tushare_fund_basic,华夏基金管理有限公司,2018-11-28,001683.OF,001683,True
001686,安信新动力灵活配置混合-A,混合型-灵活,清盘,2015-11-24,2022-09-15,2015-11-24,tushare_fund_basic,安信基金管理有限责任公司,2022-09-15,001686.OF,001686,True
001687,安信新动力灵活配置混合-C,混合型-灵活,清盘,2015-11-24,2022-09-15,2015-11-24,tushare_fund_basic,安信基金管理有限责任公司,2022-09-15,001687.OF,001686,False
001696,南方智造未来股票,股票型,清盘,2017-08-03,2021-06-17,2017-08-03,tushare_fund_basic,南方基金管理股份有限公司,2021-06-17,001696.OF,001696,True
001700,建信鑫盛回报灵活配置混合,混合型-灵活,清盘,2016-06-03,2018-04-25,2016-06-03,tushare_fund_basic,建信基金管理有限责任公司,2018-04-25,001700.OF,001700,True
001708,东兴改革精选灵活配置混合-A,混合型-灵活,清盘,2015-09-08,2026-08-04,2015-09-08,tushare_fund_basic,东兴基金管理有限公司,2026-08-04,001708.OF,001708,True
001713,华润元大中创100指数,指数型-股票,清盘,2019-01-03,2019-07-02,2019-01-03,tushare_fund_basic,华润元大基金管理有限公司,2019-07-02,001713.OF,001713,True
001727,申万菱信安鑫回报灵活配置混合-C,混合型-灵活,清盘,2015-07-23,2023-07-26,2015-07-23,tushare_fund_basic,申万菱信基金管理有限公司,2023-07-26,001727.OF,001201,False
001729,银华逆向投资灵活配置定开混合,混合型-灵活,清盘,2015-11-16,2019-09-02,2015-11-16,tushare_fund_basic,银华基金管理股份有限公司,2019-09-02,001729.OF,001729,True
001730,兴银大健康灵活配置混合,混合型-灵活,清盘,2015-08-27,2023-08-28,2015-08-27,tushare_fund_basic,兴银基金管理有限责任公司,2023-08-28,001730.OF,001730,True
001733,泰达宏利量化增强股票,股票型,清盘,2016-08-30,2022-10-20,2016-08-30,tushare_fund_basic,宏利基金管理有限公司,2022-10-20,001733.OF,001733,True
001737,大摩沪港深新价值灵活配置混合,混合型-灵活,清盘,2016-02-03,2017-04-28,2016-02-03,tushare_fund_basic,摩根士丹利基金管理(中国)有限公司,2017-04-28,001737.OF,001737,True
001738,大摩新趋势灵活配置混合,混合型-灵活,清盘,2017-11-27,2020-12-28,2017-11-27,tushare_fund_basic,摩根士丹利基金管理(中国)有限公司,2020-12-28,001738.OF,001738,True
001739,中融融安二号灵活配置混合,混合型-灵活,清盘,2018-09-29,2023-06-27,2018-09-29,tushare_fund_basic,国联基金管理有限公司,2023-06-27,001739.OF,001739,True
001754,永赢量化灵活配置混合,混合型-灵活,清盘,2015-09-01,2018-09-03,2015-09-01,tushare_fund_basic,永赢基金管理有限公司,2018-09-03,001754.OF,001754,True
001757,嘉实主题增强灵活配置混合,混合型-灵活,清盘,2016-11-23,2018-12-20,2016-11-23,tushare_fund_basic,嘉实基金管理有限公司,2018-12-20,001757.OF,001757,True
001767,华宝兴业中国互联网股票(QDII)-CNY,股票型,清盘,2015-09-23,2017-06-26,2015-09-23,tushare_fund_basic,华宝基金管理有限公司,2017-06-26,001767.OF,001767,True
001768,华宝兴业中国互联网股票(QDII)-USD,股票型,清盘,2015-09-23,2017-06-26,2015-09-23,tushare_fund_basic,华宝基金管理有限公司,2017-06-26,001768.OF,001768,True
001769,易方达瑞惠灵活配置混合,混合型-灵活,清盘,2015-07-31,2018-12-30,2015-07-31,tushare_fund_basic,易方达基金管理有限公司,2018-12-30,001769.OF,001769,True
001771,南方量化灵活配置混合,混合型-灵活,清盘,2017-08-24,2020-06-24,2017-08-24,tushare_fund_basic,南方基金管理股份有限公司,2020-06-24,001771.OF,001771,True
001772,南方消费活力灵活配置混合,混合型-灵活,清盘,2015-07-31,2018-12-29,2015-07-31,tushare_fund_basic,南方基金管理股份有限公司,2018-12-29,001772.OF,001772,True
001773,招商丰庆灵活配置混合-A,混合型-灵活,清盘,2015-07-31,2018-11-28,2015-07-31,tushare_fund_basic,招商基金管理有限公司,2018-11-28,001773.OF,001773,True
001774,招商丰庆灵活配置混合-C,混合型-灵活,清盘,2015-07-31,2018-11-28,2015-07-31,tushare_fund_basic,招商基金管理有限公司,2018-11-28,001774.OF,001773,False
001777,德邦多元回报灵活配置混合-A,混合型-灵活,清盘,2016-01-27,2018-12-04,2016-01-27,tushare_fund_basic,德邦基金管理有限公司,2018-12-04,001777.OF,001777,True
001778,德邦多元回报灵活配置混合-C,混合型-灵活,清盘,2016-01-27,2018-12-04,2016-01-27,tushare_fund_basic,德邦基金管理有限公司,2018-12-04,001778.OF,001777,False
001781,建信现代服务业股票,股票型,清盘,2016-02-23,2025-12-10,2016-02-23,tushare_fund_basic,建信基金管理有限责任公司,2025-12-10,001781.OF,001781,True
001786,国泰信益灵活配置混合,混合型-灵活,清盘,2016-12-16,2018-08-29,2016-12-16,tushare_fund_basic,国泰基金管理有限公司,2018-08-29,001786.OF,001786,True
001795,上投摩根文体休闲灵活配置混合,混合型-灵活,清盘,2015-12-23,2022-12-22,2015-12-23,tushare_fund_basic,摩根基金管理(中国)有限公司,2022-12-22,001795.OF,001795,True
001813,国泰福益灵活配置混合,混合型-灵活,清盘,2016-10-26,2018-04-12,2016-10-26,tushare_fund_basic,国泰基金管理有限公司,2018-04-12,001813.OF,001813,True
001823,光大保德信鼎鑫灵活配置混合-C,混合型-灵活,清盘,2015-11-11,2024-06-26,2015-11-11,tushare_fund_basic,光大保德信基金管理有限公司,2024-06-26,001823.OF,001464,False
001824,博时沪港深成长企业混合,混合型-灵活,清盘,2016-11-02,2022-05-17,2016-11-02,tushare_fund_basic,博时基金管理有限公司,2022-05-17,001824.OF,001824,True
001839,九泰久兴灵活配置混合,混合型-灵活,清盘,2017-01-20,2022-04-14,2017-01-20,tushare_fund_basic,九泰基金管理有限公司,2022-04-14,001839.OF,001839,True
001840,招商丰享灵活配置混合-C,混合型-灵活,清盘,2015-11-17,2018-04-11,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-04-11,001840.OF,001840,True
001841,招商丰享灵活配置混合-A,混合型-灵活,清盘,2015-11-17,2018-04-11,2015-11-17,tushare_fund_basic,招商基金管理有限公司,2018-04-11,001841.OF,001840,False
001851,中融强国制造灵活配置混合,混合型-灵活,清盘,2016-11-10,2018-10-31,2016-11-10,tushare_fund_basic,国联基金管理有限公司,2018-10-31,001851.OF,001851,True
